CONDENSED,EXPANDED
5/4,[2+3]/4
23/4,[2+3]/4
32/4,[3+2]/4
6/4,[4+2]/4
42/4,[4+2]/4
24/4,[2+4]/4
33/4,[3+3]/4
5/8,[2+3]/8
23/8,[2+3]/8
32/8,[3+2]/8
7/8,[2+2+3]/8
223/8,[2+2+3]/8
322/8,[3+2+2]/8
